Date,Adj_Close,Adj_Volume,5d_future_close,5d_close_future_pct,5d_close_pct,ma14,rsi14,ma30,rsi30,ma50,rsi50,ma200,rsi200,Adj_Volume_1d_change,Adj_Volume_1d_change_SMA,weekday_1,weekday_2,weekday_3,weekday_4
1995-08-11,42.0,0.0,42.0,0.0,0.166666666667,0.877551020408,99.8359850952,0.841666666667,97.0426086501,0.794285714286,89.0267449263,0.675535714286,46.999191538,-1.0,-1.0,0,0,0,1
1995-10-23,39.0,0.0,39.0,0.0,-0.161290322581,1.11538461538,28.9695616655,1.09487179487,41.3772271684,1.08769230769,50.4324601633,0.851538461538,46.0563869025,-1.0,-1.0,0,0,0,0
1995-11-01,38.28,0.0,38.28,0.0,-0.0184615384615,1.08609493954,25.9921791887,1.09592476489,38.638755672,1.09642633229,47.9715198382,0.879710031348,45.7904496303,-1.0,-1.0,0,1,0,0
1995-11-13,48.0,0.0,42.0,-0.125,0.253918495298,0.830714285714,78.9161998544,0.866833333333,71.7468273801,0.8701,70.6768173541,0.71424375,49.8589286149,-1.0,-1.0,0,0,0,0
1995-11-15,42.0,400.0,42.0,0.0,0.0971786833856,0.964693877551,51.5238911929,0.993047619048,52.6554076534,0.995828571429,55.0719952641,0.820564285714,47.624751288,-0.973333333333,-0.994666666667,0,1,0,0
1995-11-16,42.0,0.0,48.0,0.142857142857,0.0971786833856,0.969795918367,51.5238911929,0.993047619048,52.6554076534,0.995828571429,55.0719952641,0.822528571429,47.624751288,-1.0,-0.994666666667,0,0,1,0
1995-11-27,48.0,0.0,42.0,-0.125,0.142857142857,0.898571428571,68.955809448,0.871,64.4465534932,0.87635,64.1081894468,0.73065,49.9421231779,-1.0,-0.994666666667,0,0,0,0
1995-12-08,36.0,0.0,45.0,0.25,-0.142857142857,1.17857142857,32.0762793796,1.153,39.9391864814,1.16513333333,44.0629038509,0.992116666667,45.7679390216,-1.0,-0.994666666667,0,0,0,1
1996-01-05,45.0,0.0,36.0,-0.2,0.0,1.0,56.6525827027,0.977777777778,55.0493250854,0.948106666667,55.5688009643,0.829693333333,49.042899548,-1.0,-0.994666666667,0,0,0,1
1996-01-11,36.0,0.0,36.0,0.0,-0.2,1.21428571429,21.8491121665,1.2,36.8072077004,1.18846666667,42.4803755453,1.04461666667,45.9738810013,-1.0,-1.0,0,0,1,0
1996-01-30,36.0,2200.0,33.0,-0.0833333333333,-0.2,1.09083333333,35.6347641439,1.16738888889,41.1412781406,1.17876666667,44.3056024891,1.057225,46.3689228701,0.833333333333,-0.633333333333,1,0,0,0
1996-01-31,30.0,1600.0,33.0,0.1,-0.333333333333,1.29471428571,26.7221863127,1.3842,34.6224736368,1.40652,39.0616464732,1.26817,44.5969379085,-0.272727272727,-0.487878787879,0,1,0,0
1996-02-01,30.0,0.0,33.0,0.1,-0.333333333333,1.28042857143,26.7221863127,1.36753333333,34.6224736368,1.39852,39.0616464732,1.26767,44.5969379085,-1.0,-0.487878787879,0,0,1,0
1996-02-05,33.0,0.0,33.0,0.0,-0.10277324633,1.15103896104,36.0037909715,1.21896969697,39.7321391551,1.26047272727,42.5986872861,1.15242727273,45.6459696273,-1.0,-0.487878787879,0,0,0,0
1996-02-08,33.0,0.0,33.0,0.0,0.1,1.13155844156,36.0037909715,1.18260606061,39.7321391551,1.2332,42.5986872861,1.15333636364,45.6459696273,-1.0,-0.487878787879,0,0,1,0
1996-02-20,36.0,0.0,46.5,0.291666666667,0.0909090909091,0.916666666667,49.4406773197,1.01183333333,45.6898269671,1.1021,46.4058872175,1.060975,46.7069195079,-1.0,-0.854545454545,1,0,0,0
1996-03-06,31.5,0.0,31.5,0.0,-0.322580645161,1.25850340136,35.1365093985,1.18495238095,40.7414126049,1.23668571429,43.1409635839,1.23159047619,45.7832975505,-1.0,-1.0,0,1,0,0
1996-04-02,24.0,0.0,14.28,-0.405,-0.238095238095,1.26785714286,16.7886409958,1.43541666667,30.8371399793,1.4569,36.5008601222,1.619275,43.6720011942,-1.0,-1.0,1,0,0,0
1996-04-10,14.28,0.0,14.28,0.0,-0.405,1.84603841537,8.47786171317,2.17801120448,22.455478693,2.28579831933,29.9021127389,2.7031092437,41.1502392257,-1.0,-1.0,0,1,0,0
1996-05-03,7.5,0.0,6.0,-0.2,-0.474789915966,1.77485714286,3.82383729739,2.51893333333,16.7906935293,3.44336,25.3885768173,4.92152,39.4212112585,-1.0,-1.0,0,0,0,1
1996-05-10,6.0,0.0,6.0,0.0,-0.2,1.77928571429,3.25176998946,2.46533333333,15.7493329352,3.6792,24.4840338796,6.03065,39.0490032035,-1.0,-1.0,0,0,0,1
1996-06-26,6.36,0.0,2.12,-0.666666666667,0.06,0.951482479784,30.1281635682,0.947169811321,19.3035378247,1.25566037736,25.6967948117,4.8266509434,39.2107201229,-1.0,-1.0,0,1,0,0
1996-08-08,7.76,0.0,7.0,-0.0979381443299,2.66037735849,0.377025036819,87.468939624,0.394501718213,58.7966971768,0.547835051546,42.884308247,3.19158505155,40.7601334636,-1.0,-1.0,0,0,1,0
1996-08-13,6.0,3000.0,6.26,0.0433333333333,1.83018867925,0.647142857143,65.3545585441,0.514,49.6713069572,0.7144,39.2960722417,4.04675,40.1908620119,2.0,-0.4,1,0,0,0
1996-08-14,7.0,200.0,6.26,-0.105714285714,-0.0979381443299,0.604489795918,70.3022359842,0.443619047619,54.0112494087,0.6152,42.1592712038,3.44578571429,40.666443954,-0.933333333333,-0.386666666667,0,1,0,0
1996-08-15,7.0,0.0,6.26,-0.105714285714,-0.0979381443299,0.654285714286,70.3022359842,0.466857142857,54.0112494087,0.618057142857,42.1592712038,3.42344285714,40.666443954,-1.0,-0.386666666667,0,0,1,0
